circle_id,name,description,tags,geo_hash,member_count,created_at
circle_00000,温馨摄影班圈,欢迎热爱摄影班广场舞太极的朋友加入！,摄影班|广场舞|太极,wtw3ggbw,175,2025-06-27 13:55:07
circle_00001,智慧书法圈,欢迎热爱书法的朋友加入！,书法,wtw38gp5,263,2025-07-14 03:31:38
circle_00002,快乐书法班圈,欢迎热爱书法班摄影班的朋友加入！,书法班|摄影班,wtw83wxn,75,2025-03-05 13:19:56
circle_00003,智慧民乐圈,欢迎热爱民乐烘焙旅游的朋友加入！,民乐|烘焙|旅游,wtw93dzp,212,2025-04-24 11:50:39
circle_00004,幸福围棋圈,欢迎热爱围棋登山的朋友加入！,围棋|登山,wtw3f041,76,2025-08-15 09:19:41
circle_00005,温馨摄影班圈,欢迎热爱摄影班八段锦的朋友加入！,摄影班|八段锦,wtw29gnz,112,2025-08-08 00:17:18
circle_00006,温馨登山圈,欢迎热爱登山的朋友加入！,登山,wtw9gw2t,49,2025-07-08 16:02:23
circle_00007,活力健走圈,欢迎热爱健走阅读茶道的朋友加入！,健走|阅读|茶道,wtw2wgx7,282,2025-07-20 07:57:28
circle_00008,活力健走圈,欢迎热爱健走摄影班摄影的朋友加入！,健走|摄影班|摄影,wtw6rksz,253,2025-06-23 18:03:30
circle_00009,活力智能手机圈,欢迎热爱智能手机烘焙带孙辈的朋友加入！,智能手机|烘焙|带孙辈,wtw31g0r,118,2025-07-25 06:13:48
circle_00010,幸福茶道圈,欢迎热爱茶道旅游的朋友加入！,茶道|旅游,wtw0xqyc,125,2025-04-04 23:34:54
circle_00011,快乐维修圈,欢迎热爱维修家常菜理财的朋友加入！,维修|家常菜|理财,wtw6js8m,191,2024-12-29 04:29:12
circle_00012,温馨中医养生圈,欢迎热爱中医养生历史家常菜的朋友加入！,中医养生|历史|家常菜,wtw2dudf,250,2025-05-23 08:43:54
circle_00013,幸福八段锦圈,欢迎热爱八段锦按摩围棋的朋友加入！,八段锦|按摩|围棋,wtw6qb4v,117,2025-08-13 16:32:55
circle_00014,快乐中医养生圈,欢迎热爱中医养生的朋友加入！,中医养生,wtw2ystz,62,2025-08-25 06:50:23
circle_00015,活力历史圈,欢迎热爱历史的朋友加入！,历史,wtw83z7v,113,2025-01-05 00:09:19
circle_00016,快乐合唱圈,欢迎热爱合唱历史英语的朋友加入！,合唱|历史|英语,wtw9243u,17,2025-05-03 06:21:54
circle_00017,温馨智能手机圈,欢迎热爱智能手机短视频的朋友加入！,智能手机|短视频,wtw27uyj,211,2025-07-18 17:49:16
circle_00018,活力合唱圈,欢迎热爱合唱剪纸的朋友加入！,合唱|剪纸,wtwd0kt9,143,2025-01-28 19:52:59
circle_00019,智慧英语圈,欢迎热爱英语摄影班的朋友加入！,英语|摄影班,wtw1wz38,179,2025-05-17 14:56:42
circle_00020,活力阅读圈,欢迎热爱阅读的朋友加入！,阅读,wtw3d4vr,139,2025-07-25 12:54:58
circle_00021,活力棋牌圈,欢迎热爱棋牌围棋的朋友加入！,棋牌|围棋,wtw6t6ef,65,2025-07-30 02:46:48
circle_00022,活力插花圈,欢迎热爱插花棋牌宠物的朋友加入！,插花|棋牌|宠物,wtw3v9pu,59,2025-02-25 20:37:37
circle_00023,温馨广场舞圈,欢迎热爱广场舞的朋友加入！,广场舞,wtw2cfj0,129,2025-02-05 04:02:36
circle_00024,活力烘焙圈,欢迎热爱烘焙的朋友加入！,烘焙,wtw0ycqx,137,2025-06-16 13:36:25
circle_00025,幸福广场舞圈,欢迎热爱广场舞的朋友加入！,广场舞,wtw3238z,124,2025-06-03 01:22:55
circle_00026,幸福京剧圈,欢迎热爱京剧健走的朋友加入！,京剧|健走,wtw83u5v,259,2024-10-13 07:18:56
